question1,question2,question3,answers
1 fl oz = 2 tbsp,3 tsp = 15 mL,1 cup = 240 mL,Yes
1 fl oz = 30 mL,1 tsp = 5 mL,1 cup = 8 fl oz,Yes
micro = 10^-6,2 cups = 480 mL,1 fl oz = 2 tbsp,Yes
1 gal = 3840 mL,micro = 10^-6,1 fl oz = 30 mL,Yes
4 qt = 3840 mL,2 pt = 960 mL,1 gal = 3840 mL,Yes
1 pt = 2 cups,8 fl oz = 240 mL,1 gal = 4 qt,Yes
2.2 lb = 1 kg,1 oz = 30 g,1 gal = 4 qt,Yes
2 pt = 960 mL,4 qt = 3840 mL,1 gal = 4 qt,Yes
1 tbsp = 3 tsp,1 qt = 2 pt,1 gr = 65 mg,Yes
1 gr = 65 mg,1 oz = 30 g,4 qt = 3840 mL,Yes
8 fl oz = 240 mL,nano = 10^-9,1 lb = 454 g,Yes
milli = 10^-3,1 lb = 16 oz,1 lb = 7000 gr,Yes
pico = 10^-12,1 gr = 65 mg,1 oz = 1/16 lbs,Yes
hecto = 10^2,16 oz = 454 g,1 oz = 30 g,Yes
1 oz = 30 g,pico = 10^-12,hecto = 10^2,Yes
1 cup = 240 mL,centi = 10^-2,1 oz = 437.5 gr,Yes
3 tsp = 15 mL,deci = 10^-1,1 pt = 2 cups,Yes
centi = 10^-2,1 pt = 480 mL,1 pt = 2 cups,Yes
1 tsp = 5 mL,2 tbsp = 30 mL,16 oz = 454 g,Yes
2 pt = 960 mL,1 lb = 454 g,2 cups = 480 mL,Yes
1 gal = 4 qt,1 oz = 30 g,2 pt = 960 mL,Yes
2 tbsp = 30 mL,hecto = 10^2,3 tsp = 15 mL,Yes
16 oz = 454 g,1 gal = 4 qt,2.2 lb = 1 kg,Yes
1 oz = 30 g,1 fl oz = 30 mL,3 tsp = 15 mL,Yes
kilo = 10^3,2 pt = 960 mL,centi = 10^-2,Yes
1 qt = 960 mL,2.2 lb = 1 kg,deci = 10^-1,Yes
2 cups = 480 mL,1 tbsp = 3 tsp,hecto = 10^2,Yes
4 qt = 3840 mL,1 fl oz = 2 tbsp,kilo = 10^3,Yes
1 qt = 2 pt,1 pt = 2 cups,milli = 10^-3,Yes
1 oz = 437.5 gr,1 gr = 65 mg,nano = 10^-9,Yes
nano = 10^-9,1 cup = 240 mL,pico = 10^-12,Yes
1 gr = 65 mg,1.3 g = 1300 mg ,,Yes
1 oz = 437.5 gr,1 oz = 30 g,,Yes
16 oz = 7000 gr,1 lb = 16 oz,,Yes
1 cup = 240 mL,2 cups = 1 pt,,Yes
1 pt = 1/2 qt,1 fl oz = 30 mL,,Yes
8 fl oz = 240 mL,5 mL = 1 tsp,,Yes
1 oz = 1/16 lbs,240 mL = 1 cup,,Yes
pico = 10^-12,1 gr = 65 oz,,Yes
1 lb = 7000 gr,1 fl oz = 2 tbsp,,Yes
1 lb = 16 oz,1 lb = 7000 gr,,Yes
2.2 lb = 1 kg,1 cup = 8 fl oz,,Yes
1 lb = 454 g,2 pt = 960 mL,,Yes
kilo = 10^3,1 tbsp = 15 mL,,Yes
1 tbsp = 15 mL,milli = 10^-3,,Yes
1 cup = 8 fl oz,1 fl oz = 2 tbsp,,Yes
1 lb = 7000 gr,4 qt = 3840 mL,,Yes
1 pt = 480 mL,1 qt = 960 mL,,Yes
deci = 10^-1,1 oz = 437.5 gr,,Yes
1 qt = 2 pt,1 fl oz = 2 tbsp,,Yes
1 gal = 3840 mL,1 fl oz = 30 mL,,Yes
hecto = 10^2,1 tbsp = 3 tsp,,Yes
2 tbsp = 30 mL,1 gr = 65 mg,,Yes
micro = 10^-6,1 cup = 8 fl oz,8 fl oz = 240 mL,No
deci = 10^-10,1 cup = 8 fl oz,1 fl oz = 2 tbsp,No
16 oz = 321 g,8 fl oz = 240 mL,1 fl oz = 2 tbsp,No
nano = 10^-9,1 oz = 30 g,1 fl oz = 22 mL,No
1 oz = 437.5 gr,1 lb = 2500 gr,1 gal = 3840 mL,No
1 cup = 8 fl oz,2 cups = 480 mL,1 gal = 3840 mL,No
milli = 10^-7,1 fl oz = 30 mL,1 gr = 45 mg,No
1 cup = 240 mL,1 oz = 30 g,1 gr = 65 mg,No
1 lb = 16 oz,454 g = 20 oz,1 oz = 30 g,No
3 tsp = 15 mL,deci = 10^-11,1 lb = 16 oz,No
1 qt = 12300 mL,1 tbsp = 15 mL,1 lb = 454 g,No
1 fl oz = 2 tbsp,1 pt = 270 mL,1 lb = 7000 gr,No
1 oz = 45 g,1 pt = 480 mL,3 tsp = 15 mL,No
3 tsp = 15 mL,1 lb = 534 g,1 lb = 7000 gr,No
2.2 lb = 1 kg,2 tbsp = 40 mL,1 lb = 8 oz,No
kilo = 10^3,micro = 10^-6,1 oz = 25 g,No
1 qt= 3840 mL,4 qt = 3840 mL,1 oz = 30 g,No
1 oz = 30 g,1 fl oz = 2 tbsp,1 gal = 2 cups,No
1 tsp = 15 mL,pico = 10^-12,1 pt = 2 cups,No
3 lb = 454 g,1 pt = 480 mL,1 qt = 4 pt,No
deci = 10^-2,1 lb = 16 oz,1 tbsp = 15 mL,No
1 qt = 960 mL,milli = 10^-5,1 tbsp = 20 mL,No
micro = 10^-6,1 tbsp = 30 mL,1 tsp = 5 mL,No
2 cups = 360 mL,1 oz = 343 g,1 tsp = 5 mL,No
1 pt = 480 mL,1 fl oz = 2 tbsp,8 oz = 454 g,No
milli = 10^-4,micro = 10^-6,16 oz = 454 g,No
1 oz = 437.5 gr,1 pt = 2 cups,2 qt = 480 mL,No
1 fl oz = 2 tbsp,1 gr = 95 mg,2 tbsp = 30 mL,No
1 fl oz = 2 tbsp,kilo = 10^3,2 tbsp = 15 mL,No
1 pt = 4 cups,1 oz = 437.5 gr,2 tbsp = 30 mL,No
1 tbsp = 30 mL,3 tsp = 15 mL,1 oz = 437.5 gr,No
1 lb = 454 g,1 oz = 437.5 gr,2.2 lb = 2 kg,No
1 fl oz = 2 tbsp,1 qt = 3 pt,3 tsp = 15 mL,No
kilo = 10^3,nano = 10^-9,3 tsp = 30 mL,No
centi = 10^-12,1 gr = 65 mg,4 qt = 3840 mL,No
2 cups = 480 mL,1 lb = 7000 gr,1 oz = 343 g,No
2 tbsp = 30 mL,1 gr = 65 mg,2 cups = 360 mL,No
2 tbsp = 30 mL,kilo = 10^3,8 fl oz = 240 mL,No
1 qt = 2 cups,1 oz = 30 g,centi = 10^-2,No
3 tsp = 15 mL,2 tbsp = 15 mL,,No
deci = 10^-3,1 cup = 240 mL,,No
1 cup = 240 mL,1 qt = 4 pt,,No
1 tsp = 10 mL,1 qt = 4 pt,,No
1 tbsp = 3 tsp,3 tsp= 10 mL,,No
437.5 gr = 30 g,1 oz = 35 g,,No
240 mL = 12 tbsp,1 qt = 2 pt,,No
3840 mL = 1 qt,2 tbsp  = 30 mL,,No
4 qt = 960 mL,1 kg = 2.2 lb,,No
1 gr = 70 mg,1 fl oz = 40 mL,,No
1 oz = 1 lb,1 lb = 7000 gr,,No
1 pt = 480 mL,1 gr = 43 mg,,No
2 tbsp = 60 mL,1 pt = 480 mL,,No
1 lb = 5000 gr,1 oz = 30 g,,No
1 cup = 30 mL,8 fl oz = 120 mL,,No
1 tbsp = 3 tsp,1 gal = 12 qt,,No
1 gal = 2 qt,1 lb = 7000 gr,,No
1 tbsp = 15 mL,1 pt = 2 tsp,,No
1 tbsp = 30 mL,8 fl oz = 240 mL,,No
1 pt = 2 cups,2 fl oz = 2 tbsp,,No
3 tsp = 15 mL,1 pt = 4 cups,,No
